TASK_ID,16_train,32_train,64_train,128_train,256_train
CHEMBL1066254,0.225+/-0.087,0.373+/-0.065,0.572+/-0.037,0.65+/-0.121,
CHEMBL1119333,0.38+/-0.07,0.47+/-0.042,0.547+/-0.034,0.644+/-0.023,0.722+/-0.028
CHEMBL1243967,0.235+/-0.062,0.376+/-0.053,0.51+/-0.029,0.602+/-0.05,
CHEMBL1243970,0.188+/-0.044,0.278+/-0.058,0.402+/-0.024,0.519+/-0.055,
CHEMBL1613777,-0.012+/-0.043,0.014+/-0.031,0.025+/-0.033,0.037+/-0.032,0.062+/-0.024
CHEMBL1613800,-0.024+/-0.033,-0.015+/-0.032,-0.008+/-0.015,0.008+/-0.02,0.027+/-0.011
CHEMBL1613898,0.018+/-0.051,0.026+/-0.033,0.065+/-0.055,0.061+/-0.092,
CHEMBL1613907,0.039+/-0.028,0.108+/-0.076,0.172+/-0.082,0.3+/-0.197,
CHEMBL1613926,0.118+/-0.124,0.124+/-0.138,0.265+/-0.09,0.431+/-0.332,
CHEMBL1613949,0.129+/-0.081,0.238+/-0.056,0.34+/-0.038,0.448+/-0.108,
CHEMBL1614027,0.033+/-0.024,0.056+/-0.017,0.093+/-0.021,0.137+/-0.019,0.167+/-0.023
CHEMBL1614153,-0.013+/-0.029,-0.017+/-0.029,0.001+/-0.027,0.024+/-0.013,0.036+/-0.012
CHEMBL1614292,-0.027+/-0.028,-0.027+/-0.015,-0.023+/-0.014,-0.003+/-0.014,0.012+/-0.012
CHEMBL1614423,0.198+/-0.086,0.305+/-0.097,0.419+/-0.059,0.509+/-0.054,0.609+/-0.036
CHEMBL1614433,-0.03+/-0.11,-0.012+/-0.065,0.015+/-0.032,0.041+/-0.019,0.033+/-0.044
CHEMBL1614466,-0.036+/-0.094,-0.009+/-0.063,-0.005+/-0.025,-0.009+/-0.016,-0.005+/-0.022
CHEMBL1614503,0.094+/-0.043,0.131+/-0.058,0.159+/-0.052,0.301+/-0.237,
CHEMBL1614508,0.367+/-0.071,0.432+/-0.036,0.447+/-0.046,0.47+/-0.165,
CHEMBL1614522,0.009+/-0.062,0.041+/-0.045,0.065+/-0.034,0.079+/-0.024,0.104+/-0.018
CHEMBL1737951,0.258+/-0.051,0.365+/-0.059,0.491+/-0.079,0.608+/-0.074,
CHEMBL1738079,-0.017+/-0.032,-0.017+/-0.031,-0.003+/-0.027,0.025+/-0.033,
CHEMBL1738362,0.193+/-0.052,0.3+/-0.04,0.408+/-0.034,0.465+/-0.252,
CHEMBL1738395,-0.066+/-0.06,-0.081+/-0.058,-0.072+/-0.079,-0.072+/-0.127,
CHEMBL1738485,0.047+/-0.101,0.065+/-0.088,0.14+/-0.057,0.212+/-0.045,0.31+/-0.098
CHEMBL1738502,0.032+/-0.048,0.06+/-0.036,0.105+/-0.028,0.127+/-0.025,0.169+/-0.022
CHEMBL1738573,-0.004+/-0.016,-0.001+/-0.026,0.002+/-0.016,-0.002+/-0.026,0.039+/-0.014
CHEMBL1738579,-0.013+/-0.059,0.011+/-0.049,0.039+/-0.054,0.112+/-0.046,
CHEMBL1738633,0.045+/-0.03,0.06+/-0.057,0.071+/-0.066,0.106+/-0.223,
CHEMBL1794324,0.025+/-0.045,0.037+/-0.029,0.055+/-0.046,0.1+/-0.027,0.135+/-0.023
CHEMBL1794504,0.112+/-0.06,0.218+/-0.066,0.32+/-0.044,0.181+/-0.683,
CHEMBL1794519,0.439+/-0.08,0.544+/-0.031,0.61+/-0.066,0.654+/-0.093,
CHEMBL1794557,-0.008+/-0.034,0.003+/-0.019,0.02+/-0.034,0.047+/-0.02,0.101+/-0.025
CHEMBL1963701,0.122+/-0.084,0.204+/-0.103,0.316+/-0.077,0.406+/-0.036,0.479+/-0.021
CHEMBL1963705,0.243+/-0.093,0.35+/-0.07,0.436+/-0.074,0.534+/-0.05,0.626+/-0.02
CHEMBL1963715,0.297+/-0.107,0.427+/-0.072,0.515+/-0.039,0.577+/-0.044,0.644+/-0.019
CHEMBL1963721,0.17+/-0.055,0.228+/-0.052,0.281+/-0.047,0.362+/-0.036,0.376+/-0.098
CHEMBL1963723,0.274+/-0.11,0.442+/-0.091,0.552+/-0.031,0.621+/-0.019,0.667+/-0.015
CHEMBL1963731,0.415+/-0.121,0.534+/-0.056,0.643+/-0.036,0.708+/-0.023,0.767+/-0.035
CHEMBL1963741,0.116+/-0.085,0.196+/-0.064,0.302+/-0.058,0.369+/-0.035,0.444+/-0.037
CHEMBL1963756,0.279+/-0.119,0.319+/-0.071,0.454+/-0.048,0.498+/-0.03,0.536+/-0.029
CHEMBL1963773,0.15+/-0.074,0.252+/-0.055,0.342+/-0.046,0.438+/-0.052,0.49+/-0.039
CHEMBL1963799,0.304+/-0.085,0.433+/-0.054,0.524+/-0.033,0.61+/-0.03,0.646+/-0.039
CHEMBL1963810,0.378+/-0.067,0.468+/-0.049,0.539+/-0.022,0.586+/-0.021,0.634+/-0.036
CHEMBL1963818,0.328+/-0.103,0.43+/-0.058,0.51+/-0.03,0.572+/-0.026,0.628+/-0.024
CHEMBL1963819,0.179+/-0.07,0.279+/-0.061,0.412+/-0.064,0.491+/-0.052,0.57+/-0.03
CHEMBL1963824,0.234+/-0.059,0.315+/-0.075,0.422+/-0.034,0.534+/-0.023,0.603+/-0.043
CHEMBL1963825,0.285+/-0.116,0.457+/-0.035,0.553+/-0.043,0.617+/-0.035,0.685+/-0.039
CHEMBL1963827,0.297+/-0.102,0.415+/-0.085,0.516+/-0.034,0.578+/-0.039,0.628+/-0.024
CHEMBL1963831,0.379+/-0.09,0.504+/-0.064,0.599+/-0.042,0.659+/-0.017,0.704+/-0.038
CHEMBL1963838,-0.004+/-0.022,0.007+/-0.036,0.044+/-0.033,0.07+/-0.048,
CHEMBL1963910,0.085+/-0.056,0.116+/-0.091,0.201+/-0.031,0.27+/-0.041,
CHEMBL1963969,0.023+/-0.05,0.012+/-0.041,-0.004+/-0.039,0.004+/-0.086,
CHEMBL1964005,0.089+/-0.03,0.091+/-0.057,0.136+/-0.048,0.15+/-0.1,
CHEMBL1964101,0.229+/-0.095,0.335+/-0.053,0.415+/-0.034,0.466+/-0.028,0.533+/-0.013
CHEMBL1964106,0.213+/-0.105,0.363+/-0.066,0.505+/-0.032,0.598+/-0.03,0.662+/-0.065
CHEMBL1964115,0.289+/-0.063,0.39+/-0.082,0.501+/-0.026,0.605+/-0.048,0.658+/-0.048
CHEMBL2218994,0.067+/-0.06,0.132+/-0.045,0.143+/-0.038,0.114+/-0.233,
CHEMBL2219020,0.01+/-0.036,0.045+/-0.064,0.131+/-0.08,-0.098+/-0.53,
CHEMBL2219026,0.038+/-0.1,0.016+/-0.059,0.106+/-0.132,0.164+/-0.574,
CHEMBL2219028,-0.023+/-0.046,-0.056+/-0.08,-0.154+/-0.197,-0.345+/-0.508,
CHEMBL2219040,0.075+/-0.095,0.201+/-0.168,0.267+/-0.1,-0.295+/-1.057,
CHEMBL2219045,0.13+/-0.056,0.286+/-0.11,0.414+/-0.116,0.59+/-0.165,
CHEMBL2219049,0.172+/-0.119,0.237+/-0.106,0.367+/-0.141,0.451+/-0.192,
CHEMBL2219050,0.076+/-0.077,0.146+/-0.096,0.306+/-0.092,0.364+/-0.248,
CHEMBL2219070,0.213+/-0.278,0.353+/-0.286,0.623+/-0.204,0.802+/-0.122,
CHEMBL2219088,0.049+/-0.035,0.188+/-0.182,0.279+/-0.159,0.443+/-0.185,
CHEMBL2219098,0.132+/-0.142,0.202+/-0.098,0.268+/-0.079,0.064+/-0.438,
CHEMBL2219104,0.114+/-0.121,0.193+/-0.127,0.333+/-0.103,0.294+/-0.395,
CHEMBL2219113,0.179+/-0.134,0.363+/-0.143,0.44+/-0.148,0.322+/-0.546,
CHEMBL2219150,0.123+/-0.082,0.163+/-0.077,0.307+/-0.072,0.44+/-0.139,
CHEMBL2219159,0.137+/-0.183,0.123+/-0.129,0.213+/-0.262,-0.135+/-0.554,
CHEMBL2219175,0.096+/-0.184,0.21+/-0.245,0.449+/-0.191,0.412+/-0.274,
CHEMBL2219180,0.16+/-0.184,0.268+/-0.205,0.535+/-0.195,0.73+/-0.1,
CHEMBL2219189,0.15+/-0.178,0.097+/-0.085,0.167+/-0.131,0.192+/-0.355,
CHEMBL2219191,0.114+/-0.176,0.367+/-0.239,0.561+/-0.134,0.586+/-0.232,
CHEMBL2219194,0.145+/-0.117,0.234+/-0.097,0.249+/-0.068,0.089+/-0.301,
CHEMBL2219211,0.171+/-0.198,0.411+/-0.288,0.537+/-0.277,0.538+/-0.294,
CHEMBL2219225,0.192+/-0.181,0.325+/-0.144,0.429+/-0.042,0.441+/-0.221,
CHEMBL2219242,0.084+/-0.067,0.093+/-0.034,-0.002+/-0.186,-0.255+/-0.576,
CHEMBL2219272,0.166+/-0.097,0.39+/-0.115,0.481+/-0.076,0.456+/-0.169,
CHEMBL2219283,0.111+/-0.135,0.073+/-0.172,0.105+/-0.198,-0.924+/-1.405,
CHEMBL2219305,0.103+/-0.184,0.298+/-0.307,0.535+/-0.244,0.709+/-0.134,
CHEMBL2219352,-0.007+/-0.031,-0.013+/-0.053,-0.053+/-0.112,-0.142+/-0.434,
CHEMBL2219355,0.048+/-0.057,0.105+/-0.061,0.256+/-0.07,0.333+/-0.116,
CHEMBL2219363,0.238+/-0.252,0.358+/-0.245,0.563+/-0.149,0.373+/-0.606,
CHEMBL2219404,0.095+/-0.113,0.272+/-0.262,0.572+/-0.16,0.76+/-0.141,
CHEMBL2219408,0.045+/-0.083,0.223+/-0.15,0.342+/-0.166,0.18+/-0.799,
CHEMBL2354305,-0.001+/-0.033,0.01+/-0.037,0.017+/-0.039,0.083+/-0.067,
CHEMBL3214944,0.014+/-0.059,0.043+/-0.066,0.087+/-0.052,0.164+/-0.042,0.243+/-0.05
CHEMBL3431930,0.475+/-0.062,0.536+/-0.025,0.586+/-0.022,0.616+/-0.03,0.63+/-0.022
CHEMBL3431932,0.191+/-0.073,0.241+/-0.055,0.31+/-0.046,0.379+/-0.026,0.448+/-0.056
CHEMBL3431933,0.038+/-0.064,0.083+/-0.053,0.111+/-0.047,0.227+/-0.04,0.314+/-0.037
CHEMBL3705334,0.386+/-0.045,0.465+/-0.05,0.536+/-0.052,0.581+/-0.103,
CHEMBL3705469,0.04+/-0.091,0.101+/-0.078,0.184+/-0.085,0.241+/-0.138,
CHEMBL3705476,0.056+/-0.061,0.161+/-0.054,0.274+/-0.047,0.366+/-0.04,0.459+/-0.019
CHEMBL3706128,0.196+/-0.068,0.345+/-0.1,0.466+/-0.048,0.596+/-0.057,
CHEMBL3706356,0.273+/-0.11,0.412+/-0.081,0.527+/-0.078,0.639+/-0.05,0.718+/-0.111
CHEMBL3707557,0.298+/-0.127,0.496+/-0.077,0.663+/-0.075,0.779+/-0.19,
CHEMBL3707738,0.048+/-0.078,0.12+/-0.073,0.163+/-0.121,0.219+/-0.205,
CHEMBL3707783,0.67+/-0.05,0.766+/-0.034,0.828+/-0.02,0.845+/-0.033,
CHEMBL3887295,0.105+/-0.041,0.163+/-0.066,0.245+/-0.078,0.325+/-0.054,
CHEMBL3887333,0.447+/-0.033,0.587+/-0.053,0.69+/-0.024,0.766+/-0.026,0.802+/-0.023
CHEMBL3887334,0.214+/-0.114,0.306+/-0.107,0.513+/-0.071,0.652+/-0.063,
CHEMBL3887759,0.097+/-0.064,0.213+/-0.078,0.322+/-0.065,0.456+/-0.036,0.557+/-0.046
CHEMBL3888181,0.114+/-0.022,0.168+/-0.078,0.226+/-0.112,0.378+/-0.064,
CHEMBL3888461,0.125+/-0.068,0.16+/-0.049,0.155+/-0.095,0.13+/-0.172,
CHEMBL641707,0.304+/-0.085,0.345+/-0.045,0.504+/-0.056,0.665+/-0.128,
CHEMBL657032,0.391+/-0.156,0.631+/-0.132,0.811+/-0.039,0.911+/-0.054,
CHEMBL663407,0.275+/-0.093,0.407+/-0.061,0.541+/-0.05,0.657+/-0.135,
CHEMBL819742,0.384+/-0.138,0.511+/-0.119,0.59+/-0.103,0.699+/-0.089,
CHEMBL924949,0.373+/-0.151,0.605+/-0.05,0.714+/-0.047,0.834+/-0.085,
